,city,Longitude,Latitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date Time
164,san cristobal,-72.22,7.77,80.6,74,40,5.82,VE,1594050551
165,east london,27.91,-33.02,70.48,44,0,6.53,ZA,1594050747
166,georgetown,100.34,5.41,80.6,94,20,4.7,MY,1594050711
167,camacha,-16.33,33.08,73.4,73,40,16.11,PT,1594050748
168,hofn,-15.21,64.25,59.0,44,40,19.46,IS,1594050748
169,thinadhoo,72.93,0.53,84.96,75,100,15.79,MV,1594050748
170,college,-147.8,64.86,61.0,71,75,5.82,US,1594050748
171,cilegon,106.05,-6.02,80.6,74,40,12.75,ID,1594050748
172,kyren,102.14,51.68,63.77,63,37,2.93,RU,1594050748
173,yelizovo,158.38,53.19,60.8,100,17,6.71,RU,1594050715
174,mount isa,139.5,-20.73,55.4,32,0,9.17,AU,1594050730
175,tiksi,128.87,71.69,35.15,95,100,4.79,RU,1594050748
176,berlevag,29.09,70.86,48.2,81,75,10.29,NO,1594050748
177,felipe carrillo puerto,-88.05,19.58,90.34,57,55,7.09,MX,1594050748
178,sitka,-135.33,57.05,55.4,87,90,3.36,US,1594050748
179,parabel,81.48,58.7,61.14,82,73,5.23,RU,1594050748
180,tete,33.59,-16.16,80.6,36,40,10.29,MZ,1594050748
181,paris,2.35,48.85,73.4,37,85,16.11,FR,1594050747
182,lavrentiya,-171.0,65.58,49.59,79,68,4.45,RU,1594050749
183,samarai,150.67,-10.62,77.05,84,100,19.95,PG,1594050749
184,prachuap khiri khan,99.78,11.82,79.93,82,100,7.85,TH,1594050749
185,wernigerode,10.78,51.83,62.01,68,38,16.11,DE,1594050749
186,hualmay,-77.61,-11.1,65.89,70,62,9.24,PE,1594050749
187,maues,-57.72,-3.38,92.07,48,5,5.03,BR,1594050749
188,saint-philippe,55.77,-21.36,73.4,94,90,19.46,RE,1594050749
189,pajan,-80.42,-1.57,77.97,71,99,2.82,EC,1594050749
190,kapoeta,33.59,4.77,81.0,57,96,1.83,SS,1594050749
191,bethanien,17.16,-26.5,71.02,19,0,12.84,NA,1594050749
192,kalulushi,28.09,-12.84,62.85,34,28,2.59,ZM,1594050749
193,katherine,132.27,-14.47,59.0,44,0,6.93,AU,1594050749
194,beringovskiy,179.32,63.05,44.51,93,87,5.35,RU,1594050749
195,sotnikovo,107.48,51.88,69.8,56,1,4.47,RU,1594050749
196,dubuque,-90.87,42.48,86.0,69,1,5.82,US,1594050750
197,price,-110.81,39.6,75.2,14,1,2.89,US,1594050750
198,kuching,110.33,1.55,78.8,94,20,3.58,MY,1594050750
199,weligama,80.42,5.97,79.52,89,85,8.14,LK,1594050750
200,suleja,7.18,9.18,87.8,62,20,4.7,NG,1594050750
201,port macquarie,152.92,-31.43,43.0,96,3,8.23,AU,1594050750
202,eenhana,16.33,-17.47,84.2,13,0,5.82,NA,1594050750
203,chicama,-79.15,-7.84,72.34,59,45,9.66,PE,1594050750
204,chara,118.26,56.91,49.84,71,82,1.01,RU,1594050750
205,savalou,1.98,7.93,86.07,64,92,4.41,BJ,1594050750
206,iqaluit,-68.51,63.75,51.8,66,40,10.29,CA,1594050750
207,mayor pablo lagerenza,-60.77,-19.93,74.01,52,64,6.06,PY,1594050750
208,yumen,97.2,40.28,80.82,26,99,6.64,CN,1594050750
209,kyabram,145.05,-36.32,46.99,89,14,8.5,AU,1594050750
210,sinnamary,-52.95,5.38,83.66,74,37,10.4,GF,1594050750
211,arraial do cabo,-42.03,-22.97,87.8,58,0,4.7,BR,1594050616
212,lodja,23.43,-3.48,85.41,33,65,1.97,CD,1594050750
213,maryborough,152.7,-25.53,55.99,82,18,4.0,AU,1594050490
214,antofagasta,-70.4,-23.65,60.8,63,75,5.82,CL,1594050750
215,hasaki,140.83,35.73,79.0,94,75,11.41,JP,1594050751
216,caravelas,-39.25,-17.71,78.55,61,1,5.99,BR,1594050751
217,popondetta,148.25,-8.75,72.32,92,72,2.84,PG,1594050751
218,ofunato,141.72,39.07,69.26,93,100,6.15,JP,1594050751
219,turukhansk,87.98,65.82,59.25,96,98,2.01,RU,1594050751
220,atambua,124.89,-9.11,70.84,88,21,6.35,ID,1594050751
221,hastings,0.57,50.86,66.99,48,56,1.99,GB,1594050751
222,buala,159.59,-8.14,80.15,76,63,5.55,SB,1594050751
223,nadym,72.52,65.53,71.02,63,76,1.48,RU,1594050751
224,quthing,27.7,-30.4,49.93,39,0,4.23,LS,1594050751
225,coquimbo,-71.34,-29.95,55.4,82,20,6.93,CL,1594050751
226,nemuro,145.57,43.32,58.59,94,38,5.53,JP,1594050751
227,chiredzi,31.67,-21.05,67.14,35,0,4.07,ZW,1594050751
228,itaituba,-55.98,-4.28,94.05,36,44,4.74,BR,1594050542
229,qaanaaq,-69.36,77.48,45.55,57,4,4.03,GL,1594050751
230,carutapera,-46.02,-1.2,85.05,65,40,8.05,BR,1594050751
231,senanga,23.27,-16.12,70.83,22,7,4.56,ZM,1594050752
232,lasa,10.7,46.62,75.99,49,40,11.41,IT,1594050752
233,zhigansk,123.37,66.77,41.02,74,13,2.95,RU,1594050752
234,farsund,6.8,58.09,57.0,81,85,33.67,NO,1594050752
235,hare bay,-54.01,48.85,60.8,55,75,6.93,CA,1594050752
236,kovernino,43.81,57.13,76.15,69,0,2.35,RU,1594050752
237,wawa,4.42,9.9,90.32,52,23,1.92,NG,1594050752
238,haimen,116.61,23.19,82.4,83,100,4.47,CN,1594050752
239,chandbali,86.77,20.78,84.36,77,94,11.59,IN,1594050752
240,baykit,96.37,61.67,61.25,88,23,4.7,RU,1594050752
241,puerto carreno,-67.49,6.19,77.0,88,40,2.24,CO,1594050752
242,usinsk,57.53,65.99,74.05,57,90,14.41,RU,1594050752
243,mount gambier,140.77,-37.83,48.2,93,90,2.71,AU,1594050752
244,rio grande,-52.1,-32.03,57.2,71,40,8.05,BR,1594050599
245,trincomalee,81.23,8.57,83.07,71,99,12.93,LK,1594050752
246,namibe,12.15,-15.2,78.8,69,75,13.87,AO,1594050752
247,uryupinsk,42.01,50.8,84.81,46,31,4.36,RU,1594050752
248,bintulu,113.03,3.17,80.6,94,20,5.21,MY,1594050752
249,broome,-75.83,42.25,84.0,54,1,2.3,US,1594050752
250,tessalit,1.01,20.2,109.36,6,0,10.56,ML,1594050753
251,onega,38.14,63.91,66.29,65,56,10.96,RU,1594050753
252,westport,-73.36,41.14,89.01,54,1,5.82,US,1594050454
